time;logger;level;message;exception
2012-03-14 09:47:31.8402;Raven.Database.Server.HttpServer;Debug;Request #  61: GET     -    55 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=117931132;
2012-03-14 09:47:31.8462;Raven.Database.Server.HttpServer;Debug;Request #  62: GET     -    74 ms - <default>  - 200 - /stats?noCache=1611040745;
2012-03-14 09:47:37.9168;Raven.Database.Server.HttpServer;Debug;Request #  63: GET     -    69 ms - <default>  - 200 - /stats?noCache=1442703205;
2012-03-14 09:49:47.3587;Raven.Database.Server.HttpServer;Debug;Request #  64: GET     -    65 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=-1860027385;
2012-03-14 09:49:51.3781;Raven.Database.Server.HttpServer;Debug;Request #  65: GET     -    41 ms - <default>  - 200 - /stats?noCache=635706702;
2012-03-14 09:50:07.9018;Raven.Database.Server.HttpServer;Debug;Request #  66: GET     -    60 ms - <default>  - 200 - /stats?noCache=1064620064;
2012-03-14 09:50:14.0554;Raven.Database.Server.HttpServer;Debug;Request #  67: GET     -   110 ms - <default>  - 200 - /stats?noCache=-1120526448;
2012-03-14 09:50:20.1530;Raven.Database.Server.HttpServer;Debug;Request #  68: GET     -    35 ms - <default>  - 200 - /stats?noCache=2103140069;
2012-03-14 09:51:38.5738;Raven.Database.Server.HttpServer;Debug;Request #  69: GET     -    44 ms - <default>  - 200 - /stats?noCache=-663715654;
2012-03-14 09:51:54.3234;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:51:54.3234;Raven.Database.Server.HttpServer;Debug;Request #  70: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:52:12.2331;Raven.Database.Server.HttpServer;Debug;Request #  71: GET     -    48 ms - <default>  - 200 - /stats?noCache=-155794287;
2012-03-14 09:52:20.5050;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:52:20.5050;Raven.Database.Server.HttpServer;Debug;Request #  72: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:52:20.5260;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key '1' was not found;
2012-03-14 09:52:20.5260;Raven.Database.Server.HttpServer;Debug;Request #  73: GET     -    21 ms - <default>  - 404 - /docs/1;
2012-03-14 09:52:28.5808;Raven.Database.Server.HttpServer;Debug;Request #  74: GET     -    38 ms - <default>  - 200 - /stats?noCache=-1350903554;
